iter	Passed	Remaining
0	139	139392
1	140	70122
2	141	46962
3	142	35361
4	143	28483
5	144	24004
6	145	20695
7	147	18308
8	149	16449
9	151	14991
10	153	13757
11	154	12723
12	155	11839
13	157	11083
14	158	10400
15	159	9826
16	161	9309
17	162	8850
18	163	8430
19	164	8055
20	165	7717
21	166	7403
22	167	7122
23	168	6853
24	169	6609
25	170	6383
26	171	6174
27	172	5980
28	173	5803
29	174	5632
30	175	5476
31	176	5330
32	176	5186
33	177	5049
34	178	4919
35	179	4798
36	179	4681
37	180	4571
38	181	4467
39	181	4366
40	182	4272
41	183	4188
42	184	4110
43	185	4029
44	186	3949
45	186	3876
46	187	3802
47	188	3732
48	188	3666
49	189	3603
50	190	3539
51	190	3481
52	191	3424
53	192	3370
54	193	3317
55	193	3268
56	194	3217
57	195	3168
58	195	3122
59	196	3076
60	197	3032
61	197	2989
62	198	2947
63	198	2907
64	199	2871
65	200	2832
66	200	2796
67	201	2760
68	202	2727
69	202	2693
70	203	2661
71	204	2631
72	204	2601
73	205	2571
74	206	2543
75	207	2516
76	207	2490
77	208	2464
78	209	2438
79	209	2413
80	210	2387
81	211	2363
82	211	2336
83	212	2313
84	212	2290
85	213	2268
86	214	2246
87	214	2224
88	215	2204
89	216	2184
90	216	2163
91	217	2145
92	218	2126
93	218	2107
94	219	2090
95	220	2071
96	220	2053
97	221	2036
98	221	2018
99	222	2003
100	223	1987
101	223	1971
102	224	1955
103	225	1939
104	225	1924
105	226	1910
106	227	1895
107	227	1881
108	228	1867
109	229	1852
110	229	1839
111	230	1825
112	230	1812
113	231	1799
114	232	1787
115	232	1774
116	233	1761
117	234	1749
118	234	1737
119	235	1725
120	236	1714
121	236	1702
122	237	1691
123	237	1680
124	238	1670
125	239	1659
126	239	1648
127	240	1637
128	241	1627
129	241	1618
130	242	1607
131	243	1598
132	243	1588
133	244	1578
134	244	1568
135	245	1560
136	246	1551
137	246	1542
138	247	1533
139	248	1524
140	248	1515
141	249	1505
142	249	1496
143	250	1488
144	251	1480
145	251	1472
146	252	1464
147	253	1456
148	253	1449
149	254	1441
150	255	1434
151	255	1426
152	256	1418
153	256	1410
154	257	1404
155	258	1396
156	258	1389
157	259	1382
158	260	1375
159	260	1368
160	261	1360
161	261	1353
162	262	1346
163	262	1340
164	263	1333
165	264	1327
166	264	1321
167	265	1315
168	266	1309
169	266	1303
170	267	1297
171	268	1291
172	268	1285
173	269	1279
174	270	1273
175	270	1267
176	271	1261
177	271	1255
178	272	1250
179	273	1244
180	273	1239
181	274	1233
182	275	1227
183	275	1222
184	276	1219
185	277	1214
186	278	1209
187	278	1204
188	279	1199
189	280	1194
190	280	1189
191	281	1184
192	282	1180
193	283	1176
194	283	1171
195	284	1166
196	285	1162
197	285	1157
198	286	1152
199	287	1148
200	287	1143
201	288	1139
202	288	1134
203	289	1130
204	290	1127
205	291	1122
206	291	1118
207	292	1113
208	293	1109
209	293	1105
210	294	1101
211	295	1096
212	295	1092
213	296	1088
214	296	1084
215	297	1080
216	298	1077
217	299	1073
218	299	1069
219	300	1064
220	301	1060
221	301	1056
222	302	1052
223	302	1049
224	304	1047
225	304	1043
226	305	1040
227	306	1036
228	306	1032
229	307	1029
230	308	1025
231	308	1021
232	309	1018
233	310	1016
234	311	1012
235	311	1008
236	312	1005
237	313	1002
238	313	998
239	314	995
240	314	992
241	315	988
242	316	985
243	317	983
244	318	980
245	318	976
246	319	973
247	319	970
248	320	966
249	321	963
250	321	960
251	322	956
252	323	953
253	323	950
254	324	947
255	324	944
256	325	941
257	326	938
258	326	935
259	327	932
260	328	929
261	328	926
262	329	924
263	330	921
264	331	918
265	331	915
266	332	913
267	333	910
268	334	908
269	334	905
270	335	902
271	336	899
272	337	898
273	338	895
274	338	892
275	339	890
276	339	887
277	340	884
278	341	881
279	341	879
280	342	876
281	343	874
282	344	871
283	344	868
284	345	866
285	346	863
286	346	861
287	347	858
288	347	855
289	348	853
290	349	851
291	349	848
292	350	846
293	351	843
294	352	841
295	352	838
296	353	836
297	354	834
298	354	831
299	355	829
300	356	826
301	356	824
302	357	822
303	358	820
304	358	817
305	359	815
306	360	813
307	360	810
308	361	808
309	362	806
310	362	803
311	363	802
312	364	799
313	365	797
314	365	795
315	366	793
316	367	790
317	367	788
318	368	786
319	368	783
320	369	781
321	370	779
322	370	777
323	371	775
324	372	773
325	373	771
326	374	769
327	374	767
328	375	766
329	376	763
330	376	761
331	377	759
332	378	757
333	379	755
334	379	753
335	380	751
336	381	749
337	381	747
338	382	745
339	383	743
340	384	742
341	384	739
342	385	738
343	386	736
344	386	734
345	387	732
346	388	730
347	388	728
348	389	726
349	390	725
350	391	723
351	391	721
352	392	719
353	393	717
354	393	715
355	394	713
356	395	711
357	395	709
358	396	707
359	397	706
360	398	704
361	398	702
362	399	701
363	400	699
364	401	697
365	401	696
366	402	694
367	403	692
368	404	691
369	404	689
370	405	687
371	405	685
372	406	683
373	407	681
374	408	680
375	408	678
376	409	676
377	410	674
378	410	672
379	411	671
380	412	669
381	412	667
382	413	665
383	414	664
384	414	662
385	415	661
386	416	659
387	416	657
388	417	655
389	418	654
390	418	652
391	419	650
392	420	649
393	421	647
394	421	645
395	422	644
396	423	642
397	423	641
398	424	639
399	425	637
400	425	636
401	426	634
402	427	633
403	428	631
404	428	630
405	429	628
406	430	627
407	431	625
408	431	623
409	432	622
410	433	620
411	433	619
412	434	617
413	435	615
414	435	614
415	436	612
416	437	611
417	437	609
418	438	608
419	439	606
420	439	604
421	440	603
422	441	601
423	441	600
424	442	598
425	443	597
426	443	595
427	444	594
428	445	592
429	445	591
430	446	589
431	447	588
432	447	586
433	448	584
434	449	583
435	449	581
436	450	580
437	450	578
438	451	576
439	452	575
440	452	573
441	453	572
442	454	571
443	454	569
444	455	567
445	455	566
446	456	564
447	457	563
448	457	561
449	458	560
450	458	558
451	459	557
452	460	555
453	460	553
454	461	552
455	461	551
456	462	549
457	463	548
458	463	546
459	464	545
460	465	543
461	465	542
462	466	541
463	467	539
464	467	538
465	468	536
466	469	535
467	469	534
468	470	532
469	470	531
470	471	529
471	472	528
472	472	526
473	473	525
474	473	523
475	474	522
476	474	520
477	475	519
478	476	517
479	476	516
480	477	514
481	477	513
482	478	511
483	478	510
484	479	509
485	479	507
486	480	506
487	481	504
488	481	503
489	482	501
490	482	500
491	483	498
492	483	497
493	484	496
494	484	494
495	485	493
496	485	491
497	486	490
498	486	488
499	487	487
500	487	485
501	488	484
502	488	483
503	489	482
504	490	480
505	491	479
506	491	478
507	492	476
508	492	475
509	493	474
510	493	472
511	494	471
512	495	470
513	495	468
514	496	467
515	497	466
516	497	464
517	498	463
518	498	462
519	499	460
520	499	459
521	500	458
522	500	456
523	501	455
524	502	454
525	502	452
526	503	451
527	503	450
528	504	449
529	505	447
530	505	446
531	506	445
532	507	444
533	507	442
534	508	441
535	508	440
536	509	439
537	510	438
538	510	437
539	511	435
540	512	434
541	513	433
542	513	432
543	514	431
544	515	430
545	515	428
546	516	427
547	517	426
548	518	425
549	518	424
550	519	423
551	520	422
552	521	421
553	521	419
554	522	418
555	522	417
556	523	416
557	523	414
558	524	413
559	525	412
560	525	411
561	526	410
562	527	409
563	527	408
564	528	406
565	529	405
566	529	404
567	530	403
568	531	402
569	531	401
570	532	400
571	533	398
572	533	397
573	534	396
574	535	395
575	535	394
576	536	393
577	537	392
578	537	390
579	538	389
580	539	388
581	539	387
582	540	386
583	540	385
584	541	384
585	542	383
586	542	381
587	543	380
588	544	379
589	544	378
590	545	377
591	545	376
592	546	375
593	546	373
594	547	372
595	548	371
596	548	370
597	549	369
598	549	368
599	550	366
600	551	365
601	551	364
602	552	363
603	553	362
604	554	361
605	554	360
606	555	359
607	555	358
608	556	357
609	557	356
610	557	355
611	558	353
612	558	352
613	559	351
614	559	350
615	560	349
616	560	348
617	561	347
618	561	345
619	562	344
620	563	343
621	563	342
622	564	341
623	564	340
624	565	339
625	566	338
626	566	337
627	567	336
628	568	335
629	569	334
630	569	333
631	570	332
632	571	331
633	571	329
634	572	328
635	572	327
636	573	326
637	573	325
638	574	324
639	574	323
640	575	322
641	575	321
642	576	320
643	576	318
644	577	317
645	578	316
646	578	315
647	579	314
648	579	313
649	580	312
650	581	311
651	581	310
652	582	309
653	583	308
654	583	307
655	584	306
656	584	305
657	585	304
658	585	303
659	586	302
660	586	300
661	587	299
662	587	298
663	588	297
664	589	296
665	589	295
666	590	294
667	590	293
668	591	292
669	591	291
670	592	290
671	592	289
672	593	288
673	593	287
674	594	286
675	594	285
676	595	284
677	596	283
678	597	282
679	597	281
680	598	280
681	598	279
682	599	278
683	599	277
684	600	276
685	601	275
686	601	274
687	602	273
688	602	272
689	603	270
690	603	269
691	604	268
692	604	267
693	605	266
694	605	265
695	606	264
696	607	263
697	607	262
698	608	261
699	608	260
700	609	259
701	609	258
702	610	257
703	611	257
704	612	256
705	612	255
706	613	254
707	614	253
708	615	252
709	615	251
710	616	250
711	616	249
712	617	248
713	617	247
714	618	246
715	618	245
716	619	244
717	619	243
718	620	242
719	621	241
720	621	240
721	622	239
722	622	238
723	623	237
724	623	236
725	624	235
726	624	234
727	625	233
728	626	232
729	627	231
730	627	231
731	628	230
732	628	229
733	629	228
734	629	227
735	630	226
736	630	225
737	631	224
738	632	223
739	632	222
